payloadsize	encrypt	decrypt
6870	0.0062108200	0.0045430400
6880	0.0062084400	0.0045497600
6890	0.0062102700	0.0045492800
6900	0.0062134400	0.0045581600
6910	0.0062225800	0.0045581300
6920	0.0062167400	0.0045501000
6930	0.0062126800	0.0045504300
6940	0.0062235600	0.0045558200
6950	0.0062231200	0.0045549800
6960	0.0062090900	0.0045493800
6970	0.0062085500	0.0045463000
6980	0.0062143000	0.0045515000
6990	0.0062180700	0.0045497000
7000	0.0062282800	0.0045634100
7010	0.0062266800	0.0045606800
7020	0.0062095700	0.0045534300
7030	0.0062207500	0.0045598100
7040	0.0062205700	0.0045562700
7050	0.0062087700	0.0045497900
7060	0.0062204700	0.0045586500
7070	0.0062129500	0.0045553700
7080	0.0062054500	0.0045519800
7090	0.0062267500	0.0045562600
7100	0.0062462000	0.0045618500
7110	0.0062151200	0.0045535400
7120	0.0062193000	0.0045585200
7130	0.0062166100	0.0045569600
7140	0.0062150400	0.0045584300
7150	0.0062227200	0.0045586700
7160	0.0062137400	0.0045587400
7170	0.0062114600	0.0045561200
7180	0.0062207300	0.0045493300
7190	0.0062473200	0.0045693500
7200	0.0062400000	0.0045666700
7210	0.0062285600	0.0045628700
7220	0.0062238300	0.0045609300
7230	0.0062309700	0.0045562200
7240	0.0062365200	0.0045700000
7250	0.0062203400	0.0045606700
7260	0.0062335100	0.0045689400
7270	0.0062172000	0.0045648600
7280	0.0062346500	0.0045677000
7290	0.0062274400	0.0045646700
7300	0.0062156900	0.0045558100
7310	0.0062245300	0.0045629100
7320	0.0062274500	0.0045571500
7330	0.0062202400	0.0045541800
7340	0.0062218100	0.0045602100
7350	0.0062249800	0.0045602500
7360	0.0062328100	0.0045635200
7370	0.0062222500	0.0045665900
7380	0.0062276400	0.0045663800
7390	0.0062258300	0.0045671200
7400	0.0062292500	0.0045662400
7410	0.0062332300	0.0045635000
7420	0.0062207600	0.0045626300
7430	0.0062165100	0.0045543300
7440	0.0062290800	0.0045660800
7450	0.0062223600	0.0045675700
7460	0.0062327300	0.0045758800
7470	0.0062499100	0.0045713000
7480	0.0062288500	0.0045651900
7490	0.0062363200	0.0045671100
7500	0.0062245900	0.0045632100
7510	0.0062316700	0.0045686100
7520	0.0062303600	0.0045700200
7530	0.0062342700	0.0045689800
7540	0.0062223500	0.0045612800
7550	0.0062495700	0.0045817800
7560	0.0062391000	0.0045782200
7570	0.0062349000	0.0045780200
7580	0.0062223200	0.0045681100
7590	0.0062329400	0.0045653500
7600	0.0062400000	0.0045675700
7610	0.0062209700	0.0045649700
7620	0.0062312400	0.0045718900
7630	0.0062274800	0.0045760100
7640	0.0062334300	0.0045694300
7650	0.0062479800	0.0045849900
7660	0.0062595200	0.0045830500
